inf_classic_s,gt_inf
100,92
100.2534854,35
100.2534854,43
100.2534854,23
100.7604563,58
100.887199,20
101.2674271,24
101.2674271,21
100.3802281,37
100.887199,44
100.887199,25
100.887199,32
101.6476553,51
101.9011407,14
101.774398,42
101.9011407,86
102.0278834,50
102.661597,23
102.9150824,0
102.9150824,18
102.661597,38
103.5487959,33
103.2953105,35
103.1685678,39
104.6894804,28
104.6894804,30
104.6894804,22
104.6894804,21
105.1964512,38
105.4499366,10
105.9569075,4
106.2103929,24
105.4499366,17
104.8162231,36
104.8162231,25
104.9429658,33
105.9569075,51
106.2103929,27
106.590621,38
107.3510773,55
107.7313054,48
107.9847909,33
108.4917617,18
108.8719899,16
108.4917617,26
109.1254753,33
110.139417,59
110.6463878,44
113.9416984,79
114.3219265,64
114.1951838,54
114.5754119,62
115.0823828,67
115.3358682,48
115.9695817,22
115.842839,26
115.5893536,43
115.5893536,36
114.9556401,58
114.7021546,53
116.4765526,70
116.4765526,52
116.730038,36
116.6032953,46
116.6032953,54
116.6032953,45
116.2230672,21
115.9695817,23
115.5893536,25
115.4626109,30
115.5893536,28
115.842839,30
117.2370089,56
117.2370089,31
117.4904943,42
117.9974651,37
118.1242079,46
118.1242079,30
118.504436,13
118.1242079,16
117.8707224,25
117.617237,39
117.8707224,40
118.504436,40
119.2648923,59
119.391635,36
119.5183777,44
119.7718631,37
120.4055767,51
120.278834,36
120.5323194,21
120.278834,29
120.0253485,23
120.278834,32
120.7858048,41
121.2927757,40
123.4474018,51
123.8276299,40
123.9543726,45
123.9543726,42
124.207858,58
124.4613435,41
124.3346008,17
124.207858,15
124.0811153,25
124.4613435,32
124.0811153,39
124.207858,32
125.8555133,56
125.982256,34
126.1089987,35
126.1089987,37
125.8555133,45
126.3624842,27
126.1089987,13
125.8555133,17
125.3485425,26
125.6020279,24
125.4752852,42
125.982256,31
126.1089987,52
126.2357414,33
126.2357414,31
126.2357414,30
126.3624842,34
126.3624842,30
126.7427123,12
126.6159696,17
126.2357414,17
126.4892269,22
126.1089987,25
126.1089987,26
126.1089987,48
126.3624842,26
126.4892269,28
126.869455,26
127.2496831,32
127.3764259,26
127.2496831,12
126.9961977,13
126.7427123,19
126.7427123,18
126.2357414,22
126.1089987,26
126.869455,29
126.9961977,20
126.869455,22
127.6299113,25
127.3764259,28
127.5031686,17
127.8833967,8
127.756654,10
127.3764259,14
127.756654,15
128.2636248,22
128.643853,15
129.6577947,36
130.1647655,21
130.1647655,29
130.1647655,21
130.418251,26
130.418251,19
131.0519645,8
130.9252218,12
130.7984791,16
131.4321926,22
131.5589354,21
131.6856781,20
132.4461343,34
132.4461343,25
132.3193916,18
132.6996198,20
133.3333333,27
133.8403042,19
134.0937896,12
134.2205323,10
133.8403042,15
134.347275,19
134.2205323,21
134.347275,21
135.7414449,31
135.9949303,24
136.2484157,22
136.3751584,26
137.2623574,25
137.5158428,17
138.0228137,12
138.1495564,15
137.3891001,16
138.0228137,21
138.4030418,25
138.6565272,26
140.6844106,43
141.0646388,29
140.9378961,26
140.6844106,28
141.1913815,30
142.0785805,25
142.712294,15
142.712294,17
141.8250951,22
142.0785805,22
142.0785805,25
141.8250951,25
143.7262357,46
143.9797212,32
144.2332066,36
144.9936629,31
145.2471483,40
146.0076046,31
147.5285171,18
148.5424588,26
148.7959442,46
150.3168568,53
150.5703422,67
151.2040558,57
157.9214195,100
159.9493029,92
162.6108999,82
165.5259823,85
